TITOLO BUONA PRATICA CULTURALE;NUMERO ORDINE DI ARRIVO DOMANDA;SOGGETTO PROPONENTE;SITO INTERNET PROPONENTE;PROVINCIA SEDE LEGALE PROPONENTE;COMUNE SEDE LEGALE PROPONENTE;PARTNER
Cinema, amore mio;1;Atelier Lumiere Associazione Culturale;www.atelierlumiere.it;FR;Ferentino;"Presidenza del Consiglio dei Ministri, Dipartimento per le Pari OpportunitÖ (Ente finanziatore); ASL Provincia di Frosinone, Centro Diurno di Salute Mentale di Frosinone; Centro Diurno di Salute Mentale di Ferentino; ComunitÖ Priori di Ceccano; Conservatorio Licinio Refice di Frosinone; Liceo Artistico Bragaglia di Frosinone; Scuola media Giorgi di Ferentino; Associazione M. G. Coppotelli; Conscom, UniversitÖ popolare per le scienze sociali e della comunicazione"
DIAMOND-Dialoguing Museums for a New Cultural democracy;2;ECCOM-Centro Europeo per l?Organizzazione e il Management culturale;www.eccom.it;RM;Roma;"Roma Capitale, Sovrintendenza Capitolina ai Beni Culturali e Museo Civico di Zoologia; Melting Pro, Laboratorio per la Cultura; Museo di Storia Naturale ?Grigore Antipa? di Bucarest; Museo di Scienze Naturali ?Ion Borcea? di Bacau; Museo di Scienze Naturali di Valencia"
MCP-Brokering Migrants Cultural Partecipation;3;Centro Europeo per l'Organizzazione e il Management culturale;www.eccom.it;RM;Roma;"Ministero dei Beni e delle AttivitÖ Culturali e del Turismo, Museo Nazionale Preistorico ed Etnografico ?Luigi Pigorini?; Roma Capitale, Sovrintendenza Capitolina ai Beni Culturali, Museo Civico di Zoologia e Museo dei Fori Imperiali nei Mercati di Traiano; Interarts Foundation (Spagna); Intercult (Svezia); EDUCULT (Austria); CAE, Culture Action Europe (Belgio); ECCOM-European Centre for Cultural Organisation and Management (Italia)"
Rete Museale Urbana di Velletri;6;Comune di Velletri (Musei Civici);www.velletrimusei.it ;RM;Velletri;"Regione Lazio; Diocesi Velletri-Segni"
Celebrazioni Bimillenario Augusteo;7;Comune di Velletri (Musei Civici);www.velletrimusei.it ;RM;Velletri;"Soprintendenza Speciale Archeologica di Roma; Soprintendenza per i Beni Archeologici del Lazio; Regione Lazio; UniversitÖ Sapienza Roma e UniversitÖ Roma Tre-FacoltÖ di Ingegneria; Liceo Mancinelli-Falcone di Velletri; Alcuni saloni Arte & Stile di Velletri"
Missione Archeologica del Castello di Piombinara;11;Comune di Colleferro/Museo Archeologico del Territorio Toleriense;www.comune.colleferro.rm.it;RM;Colleferro;"Soprintendenza Archeologia del Lazio e dell'Etruria meridionale; Comune di Colleferro, Provincia di Roma (CittÖ Metropolitana); Regione Lazio; Centro Geotecnologie dellÔUniversitÖ degli Studi di Siena; Liceo ?L. Ariosto?, Ferrara; Liceo ?Archita?, Taranto; IISS, ?M. Rossi Doria?, Marigliano (NA); IIS di Via delle Scienze, Colleferro (RM); IPIA ?P. Parodi Delfino? Colleferro (RM); ITIS ?S. Cannizzaro?, Colleferro; IIS ?Mancinelli e Falconi?, Velletri, IIS ?D. Alighieri?, Cisterna di Latina (LT); IIS ?Anagni?, Anagni (FR); Italcementi Group di Bergamo; Flyren Energy Group S.r.l. di Torino; COOP Toscana/Lazio; Gruppo Archeologico Toleriense, Colleferro (RM); Gruppo Archeologico Veliterno, Velletri (RM); Gruppo Archeologico Ferrarese, Ferrara; UNITRE (UniversitÖ delle tre etÖ), Colleferro (RM); Soc. cooperativa di Servizi Culturali ?Il Betilo?"
MUSICA POPOLARE ITALIANA.COM;12;NEW MEDIA FARM   S.R.L.;www.musicapopolareitaliana.com.;LT;Latina;"Consulting & Management Company S.r.l.; Panservice SaS; Associazione Musica Popolare Italiana; Artisti, Scuole di Ballo e Canto, collaboratori freelance, web Community"
Scuola InCanto- Progetto di avvicinamento alla musica lirica per studenti della scuola dell?obbligo;14;ASSOCIAZIONE MUSICALE EUROPA INCANTO;www.europaincanto.it;RM;Roma;Teatro di Roma (Teatro Argentina e Teatro India). Conservatorio di S. Cecilia. Istituti Scolastici Comprensivi della Regione Lazio
RECUPERO DEI LOCALI, RISTRUTTURAZIONE MUSEALIZZAZIONE CON FRUIZIONE GRATUITA DEL PUBBLICO;15;ASS. FANNIUS - LABORATORIO DI ARCHEOLOGIA LIBRARIA E BIBLIOTECARIA;www.fannius.it/villa-adriana;RM;Tivoli;"Regione Lazio; Provincia di Roma/Roma Capitale; Comune di Roma; Soprintendenza ai Beni Archeologici del Lazio; Polo Museale Regionale MIBACT, Direzione di Villa Adriana e Direzione Generale per le Biblioteche, gli Istituti Culturali e il Diritto d'Autore, Soprintendenza Archivistica del Lazio; Comune di Tivoli, Comune di Roma - Ufficio cittÖ Come Scuola; CNR, Istituto dei Sistemi Complessi; Accademia delle Belle Arti di Washington DC; Smithsonian Institute Washington Dc USA; Biblioteca Apostolica Vaticana; FacoltÖ di Restauro dei Monumenti Sapienza di Roma; University of South Carolina ? USA; Istituti scolastici italiani; ALMA SAS"
RECUPERO DEI LOCALI, RISTRUTTURAZIONE E MUSEALIZZAZIONE DIDATTICA DI BENI DI INTERESSE STORICO ED ARTISTICO CON FRUIZIONE GRATUITA DEL PUBBLICO;16;ASS. FANNIUS - MUSEO DIDATTICO DEL LIBRO ANTICO;www.museolibroantico.com;RM;Tivoli;"Regione Lazio, Provincia di Roma, Soprintendenza ai Beni Architettonici del Lazio, Polo Museale Regionale MIBACT, Direzione della Villa d'Este, Direzione Generale per le Biblioteche, gli Istituti Culturali e il Diritto d'Autore, Soprintendenza Archivistica del Lazio; Comune di Tivoli, Comune di Roma - Ufficio cittÖ Come Scuola; CNR, Istituto dei Sistemi Complessi, Accademia delle Belle Arti di Washington DC, Smithsonian Institute Washington Dc USA, Musei Vaticani, Biblioteca Apostolica Vaticana, University of McKlung Museum - Tennessee - USA, University of South Carolina - USA, Museo della CiviltÖ Romana; Istituti scolastici italiani; ALMA SAS"
